symbol,entry_time,exit_time,entry_price,exit_price,duration,duration_hours,entry_equity_before,exit_equity_after,gross_price_return_pct,net_trade_return_pct,net_pnl_cash,entry_fee_cash,exit_fee_cash,total_fee_cash,exit_reason,result
BTC/USDT,2024-07-18 08:00:00+00:00,2024-07-23 20:00:00+00:00,64936.9,65836.01,5d 12h,132,1000.0,1011.8192247552624,1.3845902714789249,1.1819224755262425,11.81922475526244,1.0,1.0128320568120746,2.0128320568120746,confirmed_regime_off,win
BTC/USDT,2024-07-26 08:00:00+00:00,2024-07-29 20:00:00+00:00,67106.01,67369.99,3d 12h,84,1011.8192247552624,1013.7689115731021,0.3933775827232422,0.1926912209353704,1.9496868178396198,1.0118192247552624,1.0147836952683704,2.026602920023633,confirmed_regime_off,win
BTC/USDT,2024-08-25 04:00:00+00:00,2024-08-27 00:00:00+00:00,64150.99,62722.0,1d 20h,44,1013.7689115731021,989.2054047795427,-2.2275416170506435,-2.422988761358169,-24.563506793559327,1.0137689115731021,0.9901956003799227,2.0039645119530247,confirmed_regime_off,loss
BTC/USDT,2024-09-19 00:00:00+00:00,2024-09-25 20:00:00+00:00,62226.0,63505.78,6d 20h,164,989.2054047795427,1007.5319498180812,2.0566644168032555,1.8526531446340755,18.326545038538484,0.9892054047795428,1.0085404903083897,1.9977458950879323,confirmed_regime_off,win
BTC/USDT,2024-09-26 04:00:00+00:00,2024-09-30 04:00:00+00:00,63427.51,64441.7,4d 0h,96,1007.5319498180812,1021.5958727429519,1.598974955819643,1.3958786048829497,14.063922924870667,1.0075319498180813,1.022618491234186,2.0301504410522675,confirmed_regime_off,win
BTC/USDT,2024-10-07 04:00:00+00:00,2024-10-08 00:00:00+00:00,63466.66,62552.98,0d 20h,20,1021.5958727429519,1004.8759831893954,-1.4396219999602944,-1.6366441955823596,-16.719889553556527,1.021595872742952,1.0058818650544499,2.027477737797402,confirmed_regime_off,loss
BTC/USDT,2024-10-08 04:00:00+00:00,2024-10-08 08:00:00+00:00,62694.9,62409.46,0d 4h,4,1004.8759831893954,998.3013396086617,-0.4552842416209346,-0.6542741284219278,-6.574643580733664,1.0048759831893954,0.9993006402489105,2.004176623438306,confirmed_regime_off,loss
BTC/USDT,2024-10-08 12:00:00+00:00,2024-10-08 16:00:00+00:00,62440.0,62570.0,0d 4h,4,998.3013396086617,998.3800424950375,0.20819987187701283,0.007883680333109488,0.07870288637582235,0.9983013396086617,0.9993794219169545,1.9976807615256162,confirmed_regime_off,win
BTC/USDT,2024-10-12 04:00:00+00:00,2024-10-13 16:00:00+00:00,62583.58,62629.1,1d 12h,36,998.3800424950375,997.1089982393246,0.07273473329585389,-0.12731066343598663,-1.2710442557129227,0.9983800424950375,0.9981071053446692,1.9964871478397068,confirmed_regime_off,loss
BTC/USDT,2024-10-13 20:00:00+00:00,2024-10-21 16:00:00+00:00,62762.91,67327.0,7d 20h,188,997.1089982393246,1067.4801398113566,7.271954088808186,7.057517452584627,70.371141572032,0.9971089982393246,1.0685486884998565,2.065657686739181,confirmed_regime_off,win
BTC/USDT,2024-10-24 16:00:00+00:00,2024-10-25 20:00:00+00:00,67574.14,66937.99,1d 4h,28,1067.4801398113566,1055.3169663575197,-0.9414104271249224,-1.1394285476811095,-12.163173453836862,1.0674801398113567,1.056373339697217,2.1238534795085737,confirmed_regime_off,loss
BTC/USDT,2024-10-27 16:00:00+00:00,2024-10-31 16:00:00+00:00,67828.0,70403.58,4d 0h,96,1055.3169663575197,1093.2000144404788,3.7972223860352594,3.58973173848558,37.88304808295902,1.0553169663575197,1.094294308749228,2.1496112751067478,confirmed_regime_off,win
