fold,period,symbol,strategy_name,entry_confirmation_bars,exit_confirmation_bars,cooldown_hours,min_hold_hours,exit_buffer_pct,initial_equity,final_equity,total_return_pct,benchmark_return_pct,max_drawdown_pct,benchmark_drawdown_pct,total_trades,wins,losses,win_rate_pct,profit_factor,avg_trade_return_pct,best_trade_pct,worst_trade_pct,avg_duration_hours,total_fees_paid,exposure_pct,profitable,beat_benchmark,selection_score,train_start,train_end,test_start,test_end,train_total_return_pct,train_benchmark_return_pct,train_max_drawdown_pct,train_profit_factor,train_total_trades,train_exposure_pct,train_selection_score
1,test,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,12,0.01,1000.0,1159.2224225626437,15.922242256264374,24.31751650569791,4.964467010853402,15.434878987452382,2,2,0,100.0,,7.704195682446423,10.52723340381576,4.881157961077087,268.0,4.372033852157077,37.196391394864676,True,False,,2024-06-20 03:00:00+00:00,2025-03-17 03:00:00+00:00,2025-03-17 03:00:00+00:00,2025-05-16 03:00:00+00:00,20.862534501218487,28.356592783646683,17.217130154895976,1.7462266666260706,19,31.630921154142875,47.164266328418925
2,test,BTC/USDT,btc_regime_v2_no_lookahead,1,2,24,24,0.03,1000.0,949.7180372784933,-5.028196272150676,12.617323260352054,20.786613043743387,11.53865009423798,4,1,3,25.0,0.5960375450363602,-1.1083144960446045,8.473732161517944,-7.736083463549138,299.25,7.541621440870689,83.06731436502429,False,False,,2024-08-19 03:00:00+00:00,2025-05-16 03:00:00+00:00,2025-05-16 03:00:00+00:00,2025-07-15 03:00:00+00:00,51.47316693445412,77.10090003124104,16.065945009851568,3.3724882742042257,9,50.79463045826261,76.19091702696014
3,test,BTC/USDT,btc_regime_v2_no_lookahead,3,2,12,0,0.03,1000.0,916.5998401900011,-8.340015980999882,-1.017059804536924,11.53501841735942,13.273329052273263,1,0,1,0.0,0.0,-8.340015980999882,-8.340015980999882,-8.340015980999882,964.0,1.9175173575475486,66.89798750867453,False,False,,2024-10-18 03:00:00+00:00,2025-07-15 03:00:00+00:00,2025-07-15 03:00:00+00:00,2025-09-13 03:00:00+00:00,42.16397390917073,73.41096344629743,20.269256315245343,2.6148692087282273,10,58.2934732294399,56.36873830494593
4,test,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,0,0.02,1000.0,962.8664860504406,-3.713351394955944,-10.906629181506933,6.437168126044568,20.92901598096295,3,1,2,33.33333333333333,0.32909017491696113,-1.2292301477798067,1.8757819181433266,-2.8965929915192534,114.33333333333333,5.886357804583904,23.8029146426093,False,True,,2024-12-17 03:00:00+00:00,2025-09-13 03:00:00+00:00,2025-09-13 03:00:00+00:00,2025-11-12 03:00:00+00:00,4.049998693075407,8.506417680603139,15.692183660194692,1.1567371940182978,14,37.154760067890756,33.49079520268507
5,test,BTC/USDT,btc_regime_v2_no_lookahead,1,1,48,0,0.02,1000.0,952.6461955496181,-4.735380445038184,-12.173555318942986,4.735380445038184,21.736626212550092,1,0,1,0.0,0.0,-4.735380445038184,-4.735380445038184,-4.735380445038184,58.0,1.9535997953449633,4.02498265093685,False,True,,2025-02-15 03:00:00+00:00,2025-11-12 03:00:00+00:00,2025-11-12 03:00:00+00:00,2026-01-11 03:00:00+00:00,20.556753483195212,5.792754952500778,13.134414744548351,2.2946844759089884,9,36.769017126986576,64.74957134200343
6,test,BTC/USDT,btc_regime_v2_no_lookahead,1,1,48,12,0.02,1000.0,1019.5413367733943,1.9541336773394313,-23.460893716212862,5.062972529493514,35.58976022597036,1,1,0,100.0,,1.9541336773394313,1.9541336773394313,1.9541336773394313,160.0,2.0205618986720664,11.103400416377514,True,True,,2025-04-16 03:00:00+00:00,2026-01-11 03:00:00+00:00,2026-01-11 03:00:00+00:00,2026-03-12 03:00:00+00:00,14.847932553579103,8.40884700592599,15.323558338883592,1.6878300249573568,10,37.663940749884276,55.85097654918648
7,test,BTC/USDT,btc_regime_v2_no_lookahead,3,3,48,24,0.01,1000.0,933.2179536385675,-6.678204636143259,16.256229065752812,9.027031760612092,13.211416865380288,6,1,5,16.666666666666664,0.2394034335349933,-1.1162716657173926,2.30126054150106,-5.637617919705762,91.66666666666667,11.252817443759636,38.16793893129771,False,False,,2025-06-15 03:00:00+00:00,2026-03-12 03:00:00+00:00,2026-03-12 03:00:00+00:00,2026-05-11 03:00:00+00:00,-2.4766833906998187,-34.157321906771884,10.267669752028985,0.8081883050985993,10,21.663323561178828,46.363829918015085
