fold,period,symbol,strategy_name,entry_confirmation_bars,exit_confirmation_bars,cooldown_hours,min_hold_hours,exit_buffer_pct,initial_equity,final_equity,total_return_pct,benchmark_return_pct,max_drawdown_pct,benchmark_drawdown_pct,total_trades,wins,losses,win_rate_pct,profit_factor,avg_trade_return_pct,best_trade_pct,worst_trade_pct,avg_duration_hours,total_fees_paid,exposure_pct,profitable,beat_benchmark,selection_score
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,2,48,24,0.01,1000.0,1178.0046799478873,17.80046799478874,-2.0466792524435062,18.385586858465274,52.86450773653576,43,16,27,37.2093023255814,1.2650007359270417,0.5027380945061501,27.612049187939224,-4.241533206520909,114.30232558139535,104.85604122058086,28.375959817562496,True,True,
,train,BTC/USDT,btc_regime_v2_no_lookahead,1,2,48,24,0.01,1000.0,1285.2750781467994,28.527507814679943,56.48107938043863,18.385586858465274,30.93611235818756,34,13,21,38.23529411764706,1.542707108589124,0.886643233932012,27.612049187939224,-4.241533206520909,119.97058823529412,82.9971411741812,33.64123711340206,True,False,40.17688803080734
,test,BTC/USDT,btc_regime_v2_no_lookahead,1,2,48,24,0.01,1000.0,916.538957284084,-8.346104271591603,-37.40245074012351,10.682931129335005,44.31017874264147,9,3,6,33.33333333333333,0.26558264798417636,-0.9475702099915514,2.341968349842327,-3.5101474132203103,92.88888888888889,17.00717645433332,16.086203578987877,False,True,
