symbol,entry_time,exit_time,entry_price,exit_price,duration,duration_hours,entry_equity_before,exit_equity_after,gross_price_return_pct,net_trade_return_pct,net_pnl_cash,entry_fee_cash,exit_fee_cash,total_fee_cash,entry_reason,exit_reason,result
BTC/USDT,2024-07-19 16:00:00+00:00,2024-07-24 00:00:00+00:00,66419.43,65784.7,4d 8h,104,1000.0,988.4637128728747,-0.9556390351437738,-1.1536287127125289,-11.53628712712532,1.0,0.9894531660389136,1.9894531660389136,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,loss
BTC/USDT,2024-07-26 08:00:00+00:00,2024-07-30 00:00:00+00:00,67106.01,66610.0,3d 16h,88,988.4637128728747,979.1962094036164,-0.7391439306255854,-0.9375663819082614,-9.267503469258259,0.9884637128728747,0.9801763857894058,1.9686400986622805,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,loss
BTC/USDT,2024-08-25 04:00:00+00:00,2024-08-27 06:00:00+00:00,64150.99,62761.0,2d 2h,50,979.1962094036164,956.0644985699661,-2.1667475435686923,-2.362316215229099,-23.131710833650345,0.9791962094036164,0.9570215200900561,1.9362177294936727,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,loss
BTC/USDT,2024-09-19 04:00:00+00:00,2024-09-30 08:00:00+00:00,62082.0,64311.58,11d 4h,268,956.0644985699661,988.420281788455,3.5913469282561783,3.3842678257465897,32.35578321848891,0.9560644985699661,0.989409691479935,1.945474190049901,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,win
BTC/USDT,2024-10-07 04:00:00+00:00,2024-10-09 13:00:00+00:00,63466.66,61800.99,2d 9h,57,988.420281788455,960.555389744099,-2.6244803176975195,-2.8191339815424543,-27.864892044355997,0.988420281788455,0.9615169066507498,1.949937188439205,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,loss
BTC/USDT,2024-10-12 04:00:00+00:00,2024-10-21 23:00:00+00:00,62583.58,67377.5,9d 19h,235,960.555389744099,1032.066971093038,7.660028397224949,7.444816000458898,71.5115813489391,0.960555389744099,1.0331000711642022,1.9936554609083013,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,win
BTC/USDT,2024-10-24 16:00:00+00:00,2024-10-26 00:00:00+00:00,67574.14,66736.0,1d 8h,32,1032.066971093038,1017.2284577520433,-1.2403265509557393,-1.4377471381803564,-14.838513340994837,1.0320669710930381,1.0182467044564998,2.050313675549538,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,loss
BTC/USDT,2024-10-28 00:00:00+00:00,2024-10-31 20:00:00+00:00,67859.91,70026.73,3d 20h,92,1017.2284577520433,1047.610988982783,3.1930782106843303,2.9867952473411563,30.3825312307398,1.0172284577520432,1.0486596486314146,2.0658881063834578,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,win
BTC/USDT,2024-11-06 04:00:00+00:00,2024-11-25 20:00:00+00:00,74261.07,94955.89,19d 16h,472,1047.610988982783,1336.8778505589657,27.867656633549707,27.612049187939224,289.2668615761827,1.0476109889827832,1.3382160666255913,2.3858270556083747,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,win
BTC/USDT,2024-11-28 00:00:00+00:00,2024-12-02 12:00:00+00:00,96552.01,94972.02,4d 12h,108,1336.8778505589657,1312.372315676405,-1.6364133693332672,-1.8330421790079598,-24.505534882560823,1.3368778505589658,1.313686001678083,2.650563852237049,confirmed_previous_closed_4h_regime_on,confirmed_previous_closed_4h_regime_off,loss
