fold,period,symbol,strategy_name,entry_confirmation_bars,exit_confirmation_bars,cooldown_hours,min_hold_hours,exit_buffer_pct,initial_equity,final_equity,total_return_pct,benchmark_return_pct,max_drawdown_pct,benchmark_drawdown_pct,total_trades,wins,losses,win_rate_pct,profit_factor,avg_trade_return_pct,best_trade_pct,worst_trade_pct,avg_duration_hours,total_fees_paid,exposure_pct,profitable,beat_benchmark,selection_score
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,0,0.0,1000.0,1051.75885795445,5.17588579544499,-2.0466792524435062,27.73033723275414,52.86450773653576,90,28,62,31.11111111111111,1.0576676267441831,0.12271964851551552,29.558176853632713,-6.771172115152135,53.022222222222226,208.30008769106124,27.550372380347554,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,0,0.01,1000.0,1050.0276426653938,5.002764266539383,-2.0466792524435062,27.15300133032199,52.86450773653576,55,17,38,30.909090909090907,1.0597999913385203,0.20042540043943605,29.558176853632713,-6.771172115152135,93.49090909090908,125.56126561156105,29.686507707407195,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,0,0.02,1000.0,1128.708614705074,12.8708614705074,-2.0466792524435062,24.11379047626898,52.86450773653576,34,13,21,38.23529411764706,1.1839124041473654,0.5801838420889759,27.991300230511087,-6.771172115152114,172.38235294117646,75.99496144190525,33.83753824836903,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,0,0.03,1000.0,997.2760931781517,-0.272390682184831,-2.0466792524435062,31.948579836871293,52.86450773653576,20,5,15,25.0,0.9958664881961726,0.566682137132178,47.416609205211046,-7.736083463549126,392.7,45.084133427218845,45.34380232088216,False,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,12,0.0,1000.0,1134.182758990121,13.4182758990121,-2.0466792524435062,23.974142113806618,52.86450773653576,78,29,49,37.17948717948718,1.155081935550617,0.23886549173207108,29.558176853632713,-6.771172115152124,62.76923076923077,187.417777976851,28.26626638184862,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,12,0.01,1000.0,1078.6918425638758,7.869184256387585,-2.0466792524435062,24.632481679269567,52.86450773653576,54,18,36,33.33333333333333,1.09319900642602,0.25442252415025274,29.558176853632713,-6.771172115152124,95.9074074074074,126.80571212792798,29.900121240113158,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,12,0.02,1000.0,1128.708614705074,12.8708614705074,-2.0466792524435062,24.11379047626898,52.86450773653576,34,13,21,38.23529411764706,1.1839124041473654,0.5801838420889759,27.991300230511087,-6.771172115152114,172.38235294117646,75.99496144190525,33.83753824836903,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,12,0.03,1000.0,997.2760931781517,-0.272390682184831,-2.0466792524435062,31.948579836871293,52.86450773653576,20,5,15,25.0,0.9958664881961726,0.566682137132178,47.416609205211046,-7.736083463549126,392.7,45.084133427218845,45.34380232088216,False,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,24,0.0,1000.0,1099.5492046269699,9.954920462696993,-2.0466792524435062,23.81657005865897,52.86450773653576,71,25,46,35.2112676056338,1.1133722563537,0.21960376501010415,29.558176853632734,-5.59271657488768,71.49295774647888,166.3742639269684,29.305467351769526,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,24,0.01,1000.0,1038.5210094875752,3.8521009487575197,-2.0466792524435062,28.133083146292748,52.86450773653576,52,17,35,32.69230769230769,1.0457663552109906,0.19210009516203702,29.558176853632713,-5.592716574887691,101.46153846153847,117.61589984723192,30.46013509612609,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,24,0.02,1000.0,1150.8346952209386,15.08346952209385,-2.0466792524435062,22.17003143705798,52.86450773653576,33,13,20,39.39393939393939,1.2193224420957323,0.655599720730947,27.991300230511087,-5.953506064835123,178.9090909090909,74.64789354278165,34.08579181340569,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,0,24,0.03,1000.0,1032.1808814938595,3.218088149385956,-2.0466792524435062,31.51310388611257,52.86450773653576,19,5,14,26.31578947368421,1.0509285099530674,0.7742767996984133,47.416609205211046,-7.736083463549138,414.0,43.538910325062496,45.41308238554356,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,0,0.0,1000.0,1007.9756404828871,0.7975640482887014,-2.0466792524435062,29.39473876104628,52.86450773653576,77,22,55,28.57142857142857,1.0091201146593158,0.08837058928110997,29.558176853632734,-5.789605906572836,59.63636363636363,169.4242214714224,26.51117141042665,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,0,0.01,1000.0,1091.4625848477847,9.146258484778457,-2.0466792524435062,27.64895861943738,52.86450773653576,52,17,35,32.69230769230769,1.1153656071282099,0.286155852314583,29.558176853632713,-5.789605906572826,97.63461538461539,118.39250349683218,29.311240690491314,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,0,0.02,1000.0,1151.2687544192906,15.126875441929055,-2.0466792524435062,23.11840386158499,52.86450773653576,34,13,21,38.23529411764706,1.2211987399183837,0.6356031418394046,27.991300230511087,-5.548305299670508,172.2058823529412,76.76948431418332,33.802898216038336,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,0,0.03,1000.0,1010.3571955355364,1.0357195535536379,-2.0466792524435062,31.513103886112592,52.86450773653576,20,5,15,25.0,1.0159629801768715,0.6278254779062555,47.416609205211046,-7.7360834635491145,392.5,45.42143772343098,45.32070896599503,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,12,0.0,1000.0,1149.3277990133768,14.932779901337678,-2.0466792524435062,21.832099870132048,52.86450773653576,69,23,46,33.33333333333333,1.18935420300791,0.2845429461832027,29.558176853632713,-5.548305299670531,68.1159420289855,165.08058642439062,27.134691992379196,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,12,0.01,1000.0,1172.3388765494951,17.23388765494951,-2.0466792524435062,21.832099870132026,52.86450773653576,51,18,33,35.294117647058826,1.224173355015963,0.4293100112992819,29.558176853632713,-5.5483052996705196,99.92156862745098,123.72135900273798,29.420934126205182,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,12,0.02,1000.0,1151.2687544192906,15.126875441929055,-2.0466792524435062,23.11840386158499,52.86450773653576,34,13,21,38.23529411764706,1.2211987399183837,0.6356031418394046,27.991300230511087,-5.548305299670508,172.2058823529412,76.76948431418332,33.802898216038336,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,12,0.03,1000.0,1010.3571955355364,1.0357195535536379,-2.0466792524435062,31.513103886112592,52.86450773653576,20,5,15,25.0,1.0159629801768715,0.6278254779062555,47.416609205211046,-7.7360834635491145,392.5,45.42143772343098,45.32070896599503,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,24,0.0,1000.0,1147.39483208693,14.739483208692983,-2.0466792524435062,19.777057144224518,52.86450773653576,65,22,43,33.84615384615385,1.1800779004340443,0.30107858222055417,29.558176853632713,-4.029543745044251,74.95384615384616,158.2499045361383,28.127706252525837,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,24,0.01,1000.0,1138.994228720143,13.899422872014288,-2.0466792524435062,21.474022092431134,52.86450773653576,50,18,32,36.0,1.173405334104195,0.381562789582486,29.558176853632713,-4.029543745044251,103.94,120.33664233318274,30.004041337105246,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,24,0.02,1000.0,1173.8370814647396,17.383708146473964,-2.0466792524435062,21.149148862805735,52.86450773653576,33,13,20,39.39393939393939,1.258894772287616,0.7130233988892767,27.991300230511087,-4.990698423376938,178.72727272727272,75.40919461385026,34.05115178107499,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,12,24,0.03,1000.0,1045.7198240740718,4.571982407407171,-2.0466792524435062,31.51310388611258,52.86450773653576,19,5,14,26.31578947368421,1.0735787501970595,0.8387148816298478,47.416609205211046,-7.736083463549126,413.7894736842105,43.855946190393176,45.38998903065643,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,0,0.0,1000.0,1035.4404489582223,3.5440448958222293,-2.0466792524435062,24.037263596567403,52.86450773653576,66,17,49,25.757575757575758,1.0478103234033058,0.13419099320613045,29.558176853632713,-3.793434043099042,65.03030303030303,146.00589734421294,24.77916979389181,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,0,0.01,1000.0,1237.0533387787782,23.70533387787781,-2.0466792524435062,20.779889163711573,52.86450773653576,48,17,31,35.41666666666667,1.3481282899124294,0.5640358592916027,29.558176853632713,-3.79343404309902,102.0,116.43804580775335,28.26626638184862,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,0,0.02,1000.0,1198.3193004888265,19.83193004888264,-2.0466792524435062,20.891417732257267,52.86450773653576,33,13,20,39.39393939393939,1.3015472927826748,0.771278119285611,27.99130023051106,-4.990698423376938,175.6969696969697,76.94820882322561,33.47381790889671,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,0,0.03,1000.0,1069.7078530365552,6.970785303655513,-2.0466792524435062,31.513103886112592,52.86450773653576,19,5,14,26.31578947368421,1.115649712764817,0.9528849925155599,47.416609205211046,-7.736083463549126,412.5263157894737,44.41766402578853,45.25142890133364,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,12,0.0,1000.0,1136.0414309149758,13.604143091497578,-2.0466792524435062,16.735937120797928,52.86450773653576,62,19,43,30.64516129032258,1.1884477151572648,0.29419662794928103,29.558176853632713,-3.793434043099042,71.35483870967742,145.80360435500347,25.54125050516714,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,12,0.01,1000.0,1305.038003469973,30.503800346997313,-2.0466792524435062,17.66629393745397,52.86450773653576,47,18,29,38.297872340425535,1.4609737320635687,0.6888759616878826,29.558176853632713,-3.79343404309902,104.8936170212766,119.4894464987684,28.462559898389237,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,12,0.02,1000.0,1198.3193004888265,19.83193004888264,-2.0466792524435062,20.891417732257267,52.86450773653576,33,13,20,39.39393939393939,1.3015472927826748,0.771278119285611,27.99130023051106,-4.990698423376938,175.6969696969697,76.94820882322561,33.47381790889671,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,12,0.03,1000.0,1069.7078530365552,6.970785303655513,-2.0466792524435062,31.513103886112592,52.86450773653576,19,5,14,26.31578947368421,1.115649712764817,0.9528849925155599,47.416609205211046,-7.736083463549126,412.5263157894737,44.41766402578853,45.25142890133364,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,24,0.0,1000.0,1118.1736024722632,11.817360247226304,-2.0466792524435062,19.50553495133437,52.86450773653576,60,19,41,31.666666666666664,1.153542526478505,0.2791235374592152,29.558176853632734,-4.02954374504424,76.2,143.4312209617403,26.39570463599099,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,24,0.01,1000.0,1254.2866903726,25.428669037260022,-2.0466792524435062,18.0110839220028,52.86450773653576,47,18,29,38.297872340425535,1.360476478665361,0.6068233978339376,29.558176853632713,-4.02954374504424,106.31914893617021,117.87573059228912,28.849373592748684,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,24,0.02,1000.0,1172.6030000530013,17.260300005300124,-2.0466792524435062,21.420123150354687,52.86450773653576,33,13,20,39.39393939393939,1.2548133018216767,0.7078268630748749,27.99130023051106,-4.990698423376938,177.33333333333334,76.16688378898843,33.78557819987299,True,True,
,full,BTC/USDT,btc_regime_v2_no_lookahead,1,1,24,24,0.03,1000.0,1069.7078530365552,6.970785303655513,-2.0466792524435062,31.513103886112592,52.86450773653576,19,5,14,26.31578947368421,1.115649712764817,0.9528849925155599,47.416609205211046,-7.736083463549126,412.5263157894737,44.41766402578853,45.25142890133364,True,True,
